dataset,algorithm,\bar{sm}_s,\bar{m}_n,\mathcal{P},\mathcal{F}_{\text{pattern}}, \mathcal{F}_{\text{h}}, \mathcal{F}_{\text{v}},dp,eo,acc,auc,md
YFCC,ERM,0.0296,-0.0198,3,0.9753,0.0359215951,0.1575556909,0.9053415405666670,0.9945258049333330,0.8586586585,0.5346614567666670,0.05420223873333330
YFCC,GroupDRO,0.0317,-0.0207,3,0.9738,0.01188857377,0.140863,0.8978188484666670,0.9923386656000000,0.8905036905666670,0.5304210961,0.06682060160000000
YFCC,Mixup,0.0328,-0.0217,3,0.97275,0.03006174127,0.075944,0.8899188350333330,0.9890108479333330,0.8781956358,0.5447098103333330,0.06462666393333330
YFCC,IGA,0.0228,-0.0169,3,0.98015,0.007824743623,0.11101,0.8947770639666670,0.9878414706000000,0.8244294851,0.5325852354333330,0.05069894590000000
YFCC,Fish,0.0256,-0.0191,3,0.97765,0.005024812388,0.149266,0.9001222933333330,0.9949464580000000,0.8299207782333330,0.5338475622000000,0.049822837100000000
YFCC,IRM,0.0101,-0.0078,3,0.99105,0.03449252132,0.002685,0.9944822342,0.9921855916666670,0.7027084095,0.5175202344000000,0.0002764615
YFCC,SagNet,0.0285,-0.0185,3,0.9765,0.03604178115,0.1573174823,0.8772863170000000,0.9713466949333330,0.8634967394333330,0.5493874058,0.0670037965
YFCC,MBDG,0.0202,-0.0147,3,0.98255,0.02083548996,0.0771650327,0.9229692231333330,0.9950833974000000,0.8773460353333330,0.5434388885666670,0.025740623466666700
NYPD,ERM,-0.0252,0.0355,4,0.96965,0.05378065501,0.087239,0.86035912024,0.9189131414,0.6333980380000000,0.56832079938,0.03998954296
NYPD,GroupDRO,-0.0335,0.0527,4,0.9569,0.08168340134,0.1089883648,0.8234146493000000,0.8890648102,0.6321255783600000,0.5823684824600000,0.04255412818
NYPD,Mixup,-0.0284,0.0392,4,0.9662,0.08336457228,0.102079,0.9699474482200000,0.9716585265200000,0.5756267307200000,0.51619610352,0.004012644300000000
NYPD,IGA,-0.0252,0.0355,4,0.96965,0.05378065501,0.087239,0.86035912024,0.9189131414,0.6333980380000000,0.56832079938,0.03998954296
NYPD,Fish,-0.0226,0.0301,4,0.97365,0.0617715615,0.1044828064,0.87443881288,0.92635065976,0.63399555918,0.56585261778,0.03966130614
NYPD,IRM,-0.0015,0.0022,7,0.99815,0.02888561829,0.031168,0.9380934426000000,0.95720166802,0.59689537918,0.5346911964,0.01458485128
NYPD,SagNet,-0.017,0.0239,4,0.97955,0.03500496293,0.06360334382,0.86661123456,0.9231508757,0.632898494,0.56999599682,0.0376823127
NYPD,MBDG,-0.0038,0.0051,7,0.99555,0.1849463666,0.129358,0.9144041045,0.95724903578,0.6261804203200000,0.5544637407800000,0.024521982680000000
FairFace,ERM,-0.0419,0.0401,4,0.959,0.07616024442,0.3644983461,0.5812835411,0.8862610385714290,0.9350723210857140,0.5917563366285710,0.050198772671428600
FairFace,GroupDRO,-0.0289,0.028,4,0.97155,0.04793884888,0.341073,0.5856807752428570,0.8828106362000000,0.9321138681285710,0.5783727207285720,0.053494214457142900
FairFace,Mixup,0.0013,-0.0014,7,0.99865,0.05300555657,0.083321,0.5290104636285710,0.8216546661142860,0.9320897408571430,0.5506224193,0.054017115400000000
FairFace,IGA,-0.0269,0.0269,4,0.9731,0.05932568889,0.4610460696,0.5113941941428570,0.7551298567142860,0.9285512365142860,0.5730313438571430,0.043722902557142900
FairFace,Fish,-0.0428,0.0421,4,0.95755,0.0993858398,0.339225,0.5252901343571430,0.8431991615142860,0.9287293064571430,0.6005039765428570,0.07446215194285710
FairFace,IRM,-0.0614,0.0592,4,0.9397,0.484163853,0.1049,0.52404107143,0.73344856714286,0.8875010439285710,0.5922652716142860,0.0139922787
FairFace,SagNet,0.0085,-0.0083,3,0.9916,0.02511429974,0.117642,0.5906489531428570,0.8901388608285710,0.9324661771714290,0.5466037873571430,0.052914431042857100
FairFace,MBDG,-0.028,0.0265,4,0.97275,0.07143049343,0.3491419098,0.5197122234285720,0.7854213614857140,0.930600675142857,0.5696220538,0.04025110444285710
CCMNIST1,ERM,-0.1364,0.1537,4,0.85495,0.16768461,0.475011,0.5048878288666670,0.9977294132666670,0.9882126018000000,0.7137798887000000,0.4045787751666670
CCMNIST1,GroupDRO,-0.1459,0.1372,4,0.85845,0.2604339746,0.7038975685,0.5015537148666670,0.9911532003666670,0.9753536219666670,0.7133149854000000,0.3782781263333330
CCMNIST1,Mixup,-0.1344,0.1665,4,0.84955,0.6460552887,0.593246,0.5033307646000000,0.9962669290666670,0.9894984998000000,0.7172836206666670,0.3959403634
CCMNIST1,IGA,-0.1359,0.1426,4,0.86075,0.1269988302,0.746717,0.49718995040000000,0.9871308663666670,0.9816402343,0.7134144961666670,0.3947535057666670
CCMNIST1,Fish,-0.1453,0.1445,4,0.8551,0.168919518,0.5032756691,0.5033260549666670,0.9957403207,0.9865695099333340,0.7230289461333330,0.40671342610000000
CCMNIST1,IRM,0.2232,-0.1742,3,0.8013,2.563266354,0.033218,0.52634505496666,0.9869898177666670,0.512501786,0.8256897992333330,0.014818986266666700
CCMNIST1,SagNet,-0.146,0.1461,4,0.85395,0.1795618105,0.6756090177,0.4983244957,0.9869898177666670,0.9826403772,0.7207991414666670,0.3976486722666670
CCMNIST1,MBDG,-0.2166,0.0904,4,0.8465,2.341447357,3.053484,0.4902524267333330,0.9690966663000000,0.9661380197000000,0.7233679509333330,0.19863550863333300
BDD,ERM,-0.049,0.0703,4,0.94035,0.2875030421,0.898235,0.85568773295,0.91533324300421,0.9893162393,0.5839865342000000,0.05756522715
BDD,GroupDRO,-0.0461,0.0526,4,0.95065,0.01290073697,0.08647981373,0.8760672338,0.9795934804000000,0.97210285055,0.51565485115,0.047773182400000000
BDD,Mixup,-0.0459,0.0497,4,0.9522,0.1179704189,0.274917,0.8812491673,0.96152430045,0.97879959895,0.5268033831,0.04781424995
BDD,IGA,-0.0499,0.0654,4,0.94235,0.3952142537,1.449133887,0.8578167838000000,0.9948453608000000,0.9903846154,0.5955664537,0.055460572250000000
BDD,Fish,-0.047,0.0595,4,0.94675,0.1836908361,1.58946517,0.8692651154,0.9977678571500000,0.98578283915,0.592138577,0.052187934500000000
BDD,IRM,-0.0408,0.0384,4,0.9604,0.01649055364,0.000624,0.97190714275,0.98452881755,0.48934011365,0.51212058595,0.0001294911
BDD,SagNet,-0.0426,0.0629,4,0.94725,0.08533150997,0.38427,0.8614841724,0.9930973087,0.9706226424,0.51633296025,0.056077331300000000
BDD,MBDG,-0.075,0.0587,4,0.93315,0.04211454547,0.03995640839,0.8274641612,0.9811147344,0.9802798071000000,0.53454058185,0.022627040750000000
